SOPInstanceUID,Target
1.2.826.0.1.3680043.8.498.10232698224762232837887160036417892251,7 
1.2.826.0.1.3680043.8.498.10234738119248404005722038110176072533,3 
1.2.826.0.1.3680043.8.498.10238604796624787944349340321444383403,3 
1.2.826.0.1.3680043.8.498.10242799675195671634897807131985000448,11 
1.2.826.0.1.3680043.8.498.10254957604285715084461394701480989040,3 
1.2.826.0.1.3680043.8.498.10260924317023120140259193585217287826,14 
1.2.826.0.1.3680043.8.498.10274278970774000185357585295796306484,3 
1.2.826.0.1.3680043.8.498.10295485998536703102222365306183300035,3 
1.2.826.0.1.3680043.8.498.10299385524344582994601970314833752000,11 
1.2.826.0.1.3680043.8.498.10319865801164854092101901165773590360,1 
1.2.826.0.1.3680043.8.498.10323003363937963516513842181725877475,15 
1.2.826.0.1.3680043.8.498.10334200794500699374614895297621150305,2 
1.2.826.0.1.3680043.8.498.10336027809141061948147342418725755379,3 
1.2.826.0.1.3680043.8.498.10365514138672936500467175012351304416,2 
1.2.826.0.1.3680043.8.498.10366303868565429438284857667629584826,1 
1.2.826.0.1.3680043.8.498.10383881925699143675957924296243644320,20 
1.2.826.0.1.3680043.8.498.10402616482100796467600570325956506444,14 
1.2.826.0.1.3680043.8.498.10406657579016312201439626146133412368,0 
1.2.826.0.1.3680043.8.498.10408703585974384892701383895533277303,3 
1.2.826.0.1.3680043.8.498.10423267111363824461063550726749517156,21 
1.2.826.0.1.3680043.8.498.10425538335676125591310355442733928123,3 
1.2.826.0.1.3680043.8.498.10427172117186975182820246291573629157,14 
1.2.826.0.1.3680043.8.498.10448296949165400398949546446151357427,17 
1.2.826.0.1.3680043.8.498.10463272876001364682691638165187194525,14 
1.2.826.0.1.3680043.8.498.10465645567529682405263158816228199580,3 
1.2.826.0.1.3680043.8.498.10476557498193451011463446434321302470,16 
1.2.826.0.1.3680043.8.498.10479745482012784872397475654978693143,3 
1.2.826.0.1.3680043.8.498.10499897121692690741020795603910604263,3 
1.2.826.0.1.3680043.8.498.10503618535408607283178540130507830424,17 
1.2.826.0.1.3680043.8.498.10520495815100546553653805950243834572,3 
1.2.826.0.1.3680043.8.498.10531134063491475602165322659314211798,3 
1.2.826.0.1.3680043.8.498.10534788023918017466995376592879689223,3 
1.2.826.0.1.3680043.8.498.10556319298083910064601519571738133683,3 
1.2.826.0.1.3680043.8.498.10559597880824002291392101824679235791,1 
1.2.826.0.1.3680043.8.498.10561448436484761386439086564417613479,6 
1.2.826.0.1.3680043.8.498.10576209690457979230463217120341684832,13 
1.2.826.0.1.3680043.8.498.10588106614996547009381439874146181339,3 
1.2.826.0.1.3680043.8.498.10592554496378195625542895470016545916,3 
1.2.826.0.1.3680043.8.498.10600863545745511259205283184658922580,13 20 
1.2.826.0.1.3680043.8.498.10603862758592967408863259452643881675,16 
1.2.826.0.1.3680043.8.498.10606529710873585120949488696315239902,3 
1.2.826.0.1.3680043.8.498.10611582080042771084481967206642127595,13 20 
1.2.826.0.1.3680043.8.498.10635055760534682436679536987304163328,0 3 
1.2.826.0.1.3680043.8.498.10645552878898750123965302540778953069,3 
1.2.826.0.1.3680043.8.498.10666463629106574506887923184442351287,3 
1.2.826.0.1.3680043.8.498.10670830481577978462403418773444917077,3 
1.2.826.0.1.3680043.8.498.10674256341780119712173403491816827887,3 
1.2.826.0.1.3680043.8.498.10677807821925693390499268368372932921,8 
1.2.826.0.1.3680043.8.498.10678203561828406242444157105484930995,3 
1.2.826.0.1.3680043.8.498.10692456172302698295387525832422654827,6 
1.2.826.0.1.3680043.8.498.10697147272704679493239605869839921869,5 
1.2.826.0.1.3680043.8.498.10704962423563158488795347261597668194,3 
1.2.826.0.1.3680043.8.498.10742431377866993031552205507301490003,14 
1.2.826.0.1.3680043.8.498.10766182678440607097974548538894412972,2 
1.2.826.0.1.3680043.8.498.10787958079000572254894508861191294253,15 
1.2.826.0.1.3680043.8.498.10788851286633268614824295140165804888,3 
1.2.826.0.1.3680043.8.498.10789462381284349460063493062447124099,21 
1.2.826.0.1.3680043.8.498.10792666873622449747429490700653339258,3 
1.2.826.0.1.3680043.8.498.10815053700900957131006528810213461178,3 
1.2.826.0.1.3680043.8.498.10819267902696312884313996336562550724,0 
1.2.826.0.1.3680043.8.498.10826200697569644376121898230812192457,3 
1.2.826.0.1.3680043.8.498.10829954890632501769476563794862269283,3 
1.2.826.0.1.3680043.8.498.10839493616659557044865350773474141397,13 20 
1.2.826.0.1.3680043.8.498.10852836988483723065108282225982312389,3 
1.2.826.0.1.3680043.8.498.10855521081259314053963952297511251103,3 
1.2.826.0.1.3680043.8.498.10863585699363872992518896098079620151,11 
1.2.826.0.1.3680043.8.498.10873140185372483384104313397133134339,13 
1.2.826.0.1.3680043.8.498.10888192607734246062570568056428363685,2 
1.2.826.0.1.3680043.8.498.10898521339744078361637344500765754407,1 11 12 
1.2.826.0.1.3680043.8.498.10905251146867407016907224680896322095,13 20 
1.2.826.0.1.3680043.8.498.10917687420561210839280263439276243032,20 
1.2.826.0.1.3680043.8.498.10921163894995839905985376916380372297,3 
1.2.826.0.1.3680043.8.498.10928746813638613818136841615770309706,3 
1.2.826.0.1.3680043.8.498.10937003831824770206384743431355579489,3 
1.2.826.0.1.3680043.8.498.10947130043296900260026400505615377321,0 15 
1.2.826.0.1.3680043.8.498.10948073221602469402148225458476000973,11 
1.2.826.0.1.3680043.8.498.10950440235762027870830738147373259538,17 
1.2.826.0.1.3680043.8.498.10952484934212595061043581682480297990,0 
1.2.826.0.1.3680043.8.498.10953659733779305747615100443584474163,3 
1.2.826.0.1.3680043.8.498.10958936625549565278425119991812893017,3 
1.2.826.0.1.3680043.8.498.10970140380947509483831998819337650683,9 21 
1.2.826.0.1.3680043.8.498.10975744475626117742510725879791457055,3 
1.2.826.0.1.3680043.8.498.10995795755476412772810165173442476102,13 20 
1.2.826.0.1.3680043.8.498.10999331023067486796176446612402478703,9 21 
1.2.826.0.1.3680043.8.498.11002416839849905804161791954046100171,20 
1.2.826.0.1.3680043.8.498.11022833602719162686281929681071514442,21 
1.2.826.0.1.3680043.8.498.11031510990975440858061928285262416938,19 
1.2.826.0.1.3680043.8.498.11038050276898630416020640091514059562,13 20 
1.2.826.0.1.3680043.8.498.11038373750114402796614255648467848463,3 
1.2.826.0.1.3680043.8.498.11041516523403896557211883772853750076,1 
1.2.826.0.1.3680043.8.498.11043587047469807004999870249697783912,3 
1.2.826.0.1.3680043.8.498.11043610284585486304904225047602403894,2 
1.2.826.0.1.3680043.8.498.11051219505642789703516728341479201601,3 
1.2.826.0.1.3680043.8.498.11052125844733832576086904934228645795,21 
1.2.826.0.1.3680043.8.498.11057310512552217542969836704801471946,3 
1.2.826.0.1.3680043.8.498.11062758981428680802704515078902697545,0 
1.2.826.0.1.3680043.8.498.11081908872182807361681484324050752630,3 
1.2.826.0.1.3680043.8.498.11087126656527365228656056580125836399,3 
1.2.826.0.1.3680043.8.498.11087590130890846408615762364461798921,16 
1.2.826.0.1.3680043.8.498.11089088044523564658765746010201322834,3 
1.2.826.0.1.3680043.8.498.11095150037018605367373952404172528485,16 
1.2.826.0.1.3680043.8.498.11110211547314206547056925742174931713,3 
1.2.826.0.1.3680043.8.498.11121020226184051416110461667223845149,0 
1.2.826.0.1.3680043.8.498.11121185482084353409350327062409243101,1 
1.2.826.0.1.3680043.8.498.11122239040519216689582738524886184394,3 
1.2.826.0.1.3680043.8.498.11134132044055149977462420371171044125,3 
1.2.826.0.1.3680043.8.498.11142749741335643457785031950275730958,3 
1.2.826.0.1.3680043.8.498.11143809892724802682269433779504237349,21 
1.2.826.0.1.3680043.8.498.11154819012720659139394406394594718465,9 
1.2.826.0.1.3680043.8.498.11185314727722935928337907792670976259,14 
1.2.826.0.1.3680043.8.498.11188903640038870422508252748782042555,14 
1.2.826.0.1.3680043.8.498.11193024530936666699331245429485467591,3 
1.2.826.0.1.3680043.8.498.11196446855419106094966792266679902342,11 
1.2.826.0.1.3680043.8.498.11201642636963938779517547344500372149,6 
1.2.826.0.1.3680043.8.498.11207126462590105123217163368073993344,15 
1.2.826.0.1.3680043.8.498.11211536623788107002735898165090841538,10 
1.2.826.0.1.3680043.8.498.11217490288602515607354344525463586055,3 
1.2.826.0.1.3680043.8.498.11227155170490832168629184106125649390,0 
1.2.826.0.1.3680043.8.498.11232365649155304259072062868516202248,3 
1.2.826.0.1.3680043.8.498.11233009130435499345326720611565887038,21 
1.2.826.0.1.3680043.8.498.11234208956565733110150243859195455629,14 
1.2.826.0.1.3680043.8.498.11235855239046664015333328177072591600,2 
1.2.826.0.1.3680043.8.498.11242367121110566616157324394657344164,3 
1.2.826.0.1.3680043.8.498.11242848141152959986470858424975357030,3 
1.2.826.0.1.3680043.8.498.11249468314063287105971224932401677535,6 
1.2.826.0.1.3680043.8.498.11267610413286543119375069210494772392,4 
1.2.826.0.1.3680043.8.498.11270644862909448016905800138760429704,14 
1.2.826.0.1.3680043.8.498.11289590561415545994826797208839063240,13 
1.2.826.0.1.3680043.8.498.11289861194566314326069332926024509707,16 
1.2.826.0.1.3680043.8.498.11296458084968818315275135116653531279,3 
1.2.826.0.1.3680043.8.498.11312308859354722242161915711521006210,3 
1.2.826.0.1.3680043.8.498.11313545929026560371809389075559495248,17 
1.2.826.0.1.3680043.8.498.11314739156822220214308359058832000007,3 
1.2.826.0.1.3680043.8.498.11325907253020198448565973748398061163,14 
1.2.826.0.1.3680043.8.498.11335817940219401502851913738050469703,11 
1.2.826.0.1.3680043.8.498.11345843666841485184475436443564229399,3 
1.2.826.0.1.3680043.8.498.11348738520625492496393055400107872393,3 
1.2.826.0.1.3680043.8.498.11351855928441349557302251808716243180,11 12 
1.2.826.0.1.3680043.8.498.11355208434475342608457059230756677309,3 
1.2.826.0.1.3680043.8.498.11361844353316316839136551826642815443,3 
1.2.826.0.1.3680043.8.498.11366878438652525745202324768459886308,21 
1.2.826.0.1.3680043.8.498.11367292844372047441794575127961129528,3 
1.2.826.0.1.3680043.8.498.11372254666060926583561863442879919972,3 
1.2.826.0.1.3680043.8.498.11373167214629703280194450289801864281,11 
1.2.826.0.1.3680043.8.498.11383868985593412860090152030385654846,3 
1.2.826.0.1.3680043.8.498.11389414499381823207337224631855322005,1 
1.2.826.0.1.3680043.8.498.11392751967839124597728384448119201111,3 
1.2.826.0.1.3680043.8.498.11394012562813065885315146657569811497,13 
1.2.826.0.1.3680043.8.498.11413361691360165452236263936076800615,14 
1.2.826.0.1.3680043.8.498.11419756151604406958308074055079760087,14 
1.2.826.0.1.3680043.8.498.11430185427783861938088406669987177226,0 
1.2.826.0.1.3680043.8.498.11432324390872473407837288417262633353,3 
1.2.826.0.1.3680043.8.498.11437932063717201548634673007589281211,11 
1.2.826.0.1.3680043.8.498.11479964994316715381867899205585900227,0 
1.2.826.0.1.3680043.8.498.11484980830089725815675718370919079744,14 
1.2.826.0.1.3680043.8.498.11486153376159849706171862301634120207,3 
1.2.826.0.1.3680043.8.498.11500845335490386094241474245675854456,3 
1.2.826.0.1.3680043.8.498.11503927082906173446515017190398797781,14 
1.2.826.0.1.3680043.8.498.11504724594984965602352794642021327380,5 
1.2.826.0.1.3680043.8.498.11510235397020429669251783844827262618,2 
1.2.826.0.1.3680043.8.498.11511887853842912093737078786672152616,3 
1.2.826.0.1.3680043.8.498.11517871159945297695228776765479996926,1 6 
1.2.826.0.1.3680043.8.498.11524595338212906051183907822812157177,9 21 
1.2.826.0.1.3680043.8.498.11524693032972077656863680606118172346,3 
1.2.826.0.1.3680043.8.498.11525438084542282558810567614348583958,1 
1.2.826.0.1.3680043.8.498.11529607618618963416914813070379733668,14 
1.2.826.0.1.3680043.8.498.11549033278461640575112345289283325291,3 
1.2.826.0.1.3680043.8.498.11550191956762669655365070562002969198,3 
1.2.826.0.1.3680043.8.498.11558866520660138931650976459278451094,2 
1.2.826.0.1.3680043.8.498.11578307676894959751499902169009940254,9 
1.2.826.0.1.3680043.8.498.11578613116828745425553779031202532310,21 
1.2.826.0.1.3680043.8.498.11583449165849197381539073980360763039,14 
1.2.826.0.1.3680043.8.498.11585588613483959369792983655058647666,1 
1.2.826.0.1.3680043.8.498.11592311198629503991670907181209693809,3 
1.2.826.0.1.3680043.8.498.11594460919874020693074059465211127073,3 
1.2.826.0.1.3680043.8.498.11609569886309883029089958702332731827,6 
1.2.826.0.1.3680043.8.498.11645569277779410720325219642567208190,3 
1.2.826.0.1.3680043.8.498.11648397737056426121684282413964407685,3 
1.2.826.0.1.3680043.8.498.11656292417841928244754313492475995211,9 21 
1.2.826.0.1.3680043.8.498.11666143137939211262402653035688444502,0 
1.2.826.0.1.3680043.8.498.11672003755430661070126278122836946169,3 
1.2.826.0.1.3680043.8.498.11678563732162053323057776224358773106,13 
1.2.826.0.1.3680043.8.498.11692246911082639078636747981584063325,1 
1.2.826.0.1.3680043.8.498.11695427217425279782388230952947284646,10 
1.2.826.0.1.3680043.8.498.11707990348620169509145053463963374569,2 
1.2.826.0.1.3680043.8.498.11722494914277047769354284812925688733,1 
1.2.826.0.1.3680043.8.498.11750663969746891830139495508823267889,3 
1.2.826.0.1.3680043.8.498.11765819296431179345523406724782860013,2 
1.2.826.0.1.3680043.8.498.11769091169202361191232573875109527532,3 
1.2.826.0.1.3680043.8.498.11771987402818094024586940972819031837,2 
1.2.826.0.1.3680043.8.498.11775638366925338207782472982219856238,13 
1.2.826.0.1.3680043.8.498.11782290406376640008140442719394036274,0 
1.2.826.0.1.3680043.8.498.11791881498301669819722967832734363621,3 
1.2.826.0.1.3680043.8.498.11801731889437582722974586236474536659,3 
1.2.826.0.1.3680043.8.498.11803587057874004257305828672968120161,6 
1.2.826.0.1.3680043.8.498.11805917822958211387275817754877961325,10 
1.2.826.0.1.3680043.8.498.11817642888910554738757114916300476459,3 
1.2.826.0.1.3680043.8.498.11820873660935442751048903618482593629,2 
1.2.826.0.1.3680043.8.498.11832095266527692834462363770587970273,3 
1.2.826.0.1.3680043.8.498.11851981752095524983766808823647205500,3 
1.2.826.0.1.3680043.8.498.11854446559058671975456770431260197014,13 
1.2.826.0.1.3680043.8.498.11857819862229319902162851147867049284,17 
1.2.826.0.1.3680043.8.498.11865632589871248637016511435167687872,2 
1.2.826.0.1.3680043.8.498.11890825428391710258088260386692091230,3 
1.2.826.0.1.3680043.8.498.11892773042421300074351780823246824553,11 
1.2.826.0.1.3680043.8.498.11894940074764904932803154350376953059,5 
1.2.826.0.1.3680043.8.498.11898629271650758263464636828575537028,14 
1.2.826.0.1.3680043.8.498.11906946738973895351244396247695564997,3 
1.2.826.0.1.3680043.8.498.11907404054445852556963774721611438513,2 
1.2.826.0.1.3680043.8.498.11911833370040822194823098700931537024,21 
1.2.826.0.1.3680043.8.498.11917239920684965553324969391560337472,0 
1.2.826.0.1.3680043.8.498.11930206933094328643015556885177035005,11 
1.2.826.0.1.3680043.8.498.11934310702397942233665836844579491063,3 
1.2.826.0.1.3680043.8.498.11947519930870274635746593226207050285,0 
1.2.826.0.1.3680043.8.498.11952097992374250117924749459676911238,3 
1.2.826.0.1.3680043.8.498.11952780870145445053376875243766329869,2 
1.2.826.0.1.3680043.8.498.11955524769280763472642014279467394399,3 
1.2.826.0.1.3680043.8.498.11961237510493383019288615779665092562,3 
1.2.826.0.1.3680043.8.498.11968511297377733581885934406403021629,14 
1.2.826.0.1.3680043.8.498.11970012380146158303457953220151384241,3 
1.2.826.0.1.3680043.8.498.11988275118505930534806492100368138882,6 
1.2.826.0.1.3680043.8.498.11988922439463646231815982615834213556,3 
1.2.826.0.1.3680043.8.498.11990760348755488730051066538791533229,9 21 
1.2.826.0.1.3680043.8.498.11996290339902434899344740358016614587,13 20 
1.2.826.0.1.3680043.8.498.12000361529124532225079114583714287740,5 
1.2.826.0.1.3680043.8.498.12002296863359343666820713070282060659,11 
1.2.826.0.1.3680043.8.498.12002306384917062716664712097663893567,3 
1.2.826.0.1.3680043.8.498.12010772705898316588000795421498587934,6 
1.2.826.0.1.3680043.8.498.12015565655460740962213321986006681311,9 21 
1.2.826.0.1.3680043.8.498.12017020395538418796791667973665779019,3 
1.2.826.0.1.3680043.8.498.12026546951142746370157902599973764184,8 
1.2.826.0.1.3680043.8.498.12026937659186864795828965070625858534,9 21 
1.2.826.0.1.3680043.8.498.12030305438994683649353170839840310044,12 
1.2.826.0.1.3680043.8.498.12035354702008007069778267077346981869,1 
1.2.826.0.1.3680043.8.498.12035823519527341828940567409701510256,3 
1.2.826.0.1.3680043.8.498.12037073608032824690745293373409808498,3 
1.2.826.0.1.3680043.8.498.12037310414443283406211198353885205904,3 
1.2.826.0.1.3680043.8.498.12038572537031811246404832851090645778,12 
1.2.826.0.1.3680043.8.498.12040039356501140708409183643375906784,3 
1.2.826.0.1.3680043.8.498.12056946449382353884458675177339782144,2 
1.2.826.0.1.3680043.8.498.12063258080118904000188967574141867069,14 
1.2.826.0.1.3680043.8.498.12095888743668316699586184536021082509,1 
1.2.826.0.1.3680043.8.498.12108345996741935961150497389670692158,3 
1.2.826.0.1.3680043.8.498.12115211226207465067894867083043839170,15 
1.2.826.0.1.3680043.8.498.12120754081763591156365595395338724239,3 
1.2.826.0.1.3680043.8.498.12142079924803115820735260993318822491,3 
1.2.826.0.1.3680043.8.498.12144738462301935148504323145878046567,15 
1.2.826.0.1.3680043.8.498.12161363050451937896978992472537402212,3 
1.2.826.0.1.3680043.8.498.12187522536997909210747349753979292719,3 
1.2.826.0.1.3680043.8.498.12191663597566767495100724609101097455,11 
1.2.826.0.1.3680043.8.498.12201269493158411943987898676828698534,12 
1.2.826.0.1.3680043.8.498.12202091929528143877759135500210671327,13 20 
1.2.826.0.1.3680043.8.498.12206515819614765781854321915084485872,11 
1.2.826.0.1.3680043.8.498.12209232711532162247608981043714969492,15 
1.2.826.0.1.3680043.8.498.12212203884658846423753604682471741186,3 
1.2.826.0.1.3680043.8.498.12221132107415129007807163853949398823,1 
1.2.826.0.1.3680043.8.498.12228592390022379574579276308715258007,21 
1.2.826.0.1.3680043.8.498.12235088338649529050263073351737622316,2 
1.2.826.0.1.3680043.8.498.12235223854776142228440596563575598678,21 
1.2.826.0.1.3680043.8.498.12238101317656134378882781868242599961,3 
1.2.826.0.1.3680043.8.498.12250944515020919220490569127599069134,3 
1.2.826.0.1.3680043.8.498.12256595846154237358757762019099901677,3 
1.2.826.0.1.3680043.8.498.12272184327978690265685407997763484098,6 
1.2.826.0.1.3680043.8.498.12282781170861309058494090423683843384,14 
1.2.826.0.1.3680043.8.498.12294382971513946569975252393706444416,3 
1.2.826.0.1.3680043.8.498.12298592996390979310806885517395823053,16 
1.2.826.0.1.3680043.8.498.12299668415867505484502602346631976504,14 
1.2.826.0.1.3680043.8.498.12321430148353134437369943500506682108,3 
1.2.826.0.1.3680043.8.498.12336783553322800699204939523033613595,3 
1.2.826.0.1.3680043.8.498.12349604547773643462854508062317787086,3 
1.2.826.0.1.3680043.8.498.12351498508100874443196389600962759703,13 20 
1.2.826.0.1.3680043.8.498.12355108642790545710246052931293142272,11 
1.2.826.0.1.3680043.8.498.12363067424206260737821416500039285243,3 
1.2.826.0.1.3680043.8.498.12366921122742247131136641333230414665,16 
1.2.826.0.1.3680043.8.498.12378044708302094802825659742455534986,3 
1.2.826.0.1.3680043.8.498.12378966170925018112620661711511431734,3 
1.2.826.0.1.3680043.8.498.12385864156405490636777162054526949479,13 20 
1.2.826.0.1.3680043.8.498.12395533389810358564188611171775634980,15 
1.2.826.0.1.3680043.8.498.12401076608067423677279984756638353389,15 
1.2.826.0.1.3680043.8.498.12414243101975237693704262413365291546,3 
1.2.826.0.1.3680043.8.498.12417033569210113590539659626928492880,0 3 
1.2.826.0.1.3680043.8.498.12420039314240867950745839434677778203,3 
1.2.826.0.1.3680043.8.498.12425034650695030193564848195830214517,21 
1.2.826.0.1.3680043.8.498.12426280605884358003938703045328714024,10 
1.2.826.0.1.3680043.8.498.12427822628606725405138429120863059498,10 19 
1.2.826.0.1.3680043.8.498.12429284509989871204916961987761058914,3 
1.2.826.0.1.3680043.8.498.12436850398544154758134881454064304620,3 
1.2.826.0.1.3680043.8.498.12437794151444257245532142364731474913,0 3 
1.2.826.0.1.3680043.8.498.12441975382191301451609110478722444317,3 
1.2.826.0.1.3680043.8.498.12456483389094621446738888682372272348,14 
1.2.826.0.1.3680043.8.498.12457775548016606901247521468491855858,3 
1.2.826.0.1.3680043.8.498.12465380284035593782558897720100516139,3 
1.2.826.0.1.3680043.8.498.12473635239894868423611943092602580460,3 
1.2.826.0.1.3680043.8.498.12477066860189564687353887858725469798,3 
1.2.826.0.1.3680043.8.498.12481080664949603254444586877089405576,16 
1.2.826.0.1.3680043.8.498.12482479381180288762288066779631740479,3 
1.2.826.0.1.3680043.8.498.12483147071496805574566244674766440057,3 
1.2.826.0.1.3680043.8.498.12489154905016857920261488947846932119,3 
1.2.826.0.1.3680043.8.498.12490534776323041841832658130779183254,3 
1.2.826.0.1.3680043.8.498.12494489757305120214535910398767230127,3 
1.2.826.0.1.3680043.8.498.12495370180695875363027673660666899198,5 
1.2.826.0.1.3680043.8.498.12503175045674251252269813745122052793,11 
1.2.826.0.1.3680043.8.498.12505594116192250242982710363687666461,3 
1.2.826.0.1.3680043.8.498.12508457306413949046355947367228996515,3 
1.2.826.0.1.3680043.8.498.12516034995064011638885116460482962933,5 
1.2.826.0.1.3680043.8.498.12519421941347857414117635998246747858,3 
1.2.826.0.1.3680043.8.498.12527966255170548734423232195449414334,1 
1.2.826.0.1.3680043.8.498.12529523974665777310068038344135596371,5 
1.2.826.0.1.3680043.8.498.12531147140263297225126104319831442489,3 
1.2.826.0.1.3680043.8.498.12531481447834027727516857714539413118,3 
1.2.826.0.1.3680043.8.498.12537780035688043691940634006736709321,3 
1.2.826.0.1.3680043.8.498.12541887772880068753280376721646048004,3 
1.2.826.0.1.3680043.8.498.12562144313766814317417446207952346829,13 20 
1.2.826.0.1.3680043.8.498.12564843228607458293512543677294841702,11 
1.2.826.0.1.3680043.8.498.12608809850577365286275480029864466891,0 
1.2.826.0.1.3680043.8.498.12608856335078437669501465991019186716,3 
1.2.826.0.1.3680043.8.498.12614458275981055759781154621324477823,0 
1.2.826.0.1.3680043.8.498.12634077313700931791970074605300969175,3 
1.2.826.0.1.3680043.8.498.12657778303933552316811448040372123207,3 
1.2.826.0.1.3680043.8.498.12658378079808159999538855845091023934,3 
1.2.826.0.1.3680043.8.498.12667139310447890062056988632166202414,3 
1.2.826.0.1.3680043.8.498.12671509189971756554638370622559935253,1 6 
1.2.826.0.1.3680043.8.498.12683516398106481086023529189346464256,16 
1.2.826.0.1.3680043.8.498.12688205493258831365895186925659605794,3 
1.2.826.0.1.3680043.8.498.12694707511693593639081198843907324880,3 
1.2.826.0.1.3680043.8.498.12714045571099766465617535440956333513,3 
1.2.826.0.1.3680043.8.498.12742169316804383951377645521252873815,5 
1.2.826.0.1.3680043.8.498.12763680080003150997803257649537761619,21 
1.2.826.0.1.3680043.8.498.12764119488911678486346710898310965684,20 
1.2.826.0.1.3680043.8.498.12780865343620931087658320040478218189,21 
1.2.826.0.1.3680043.8.498.12781870272366327239431992873991536152,3 
1.2.826.0.1.3680043.8.498.12804989165415624964907451216073182697,3 
1.2.826.0.1.3680043.8.498.12810164671047434645941468750569982010,15 
1.2.826.0.1.3680043.8.498.12810603688598041776661780985832474083,5 
1.2.826.0.1.3680043.8.498.12810886404739720932967602933504204089,21 
1.2.826.0.1.3680043.8.498.12813108802653435794478360213877283926,3 
1.2.826.0.1.3680043.8.498.12821391966821312543132138701229268719,16 
1.2.826.0.1.3680043.8.498.12823680871769331862340370899002670909,14 
1.2.826.0.1.3680043.8.498.12834434224586987917449507638247191905,13 20 
1.2.826.0.1.3680043.8.498.12835454942925425630498406207743168307,5 
1.2.826.0.1.3680043.8.498.12838113988230770909625644718522879228,3 
1.2.826.0.1.3680043.8.498.12866370363362455047253382258366617014,3 
1.2.826.0.1.3680043.8.498.12878810271147583459981148195745407357,3 
1.2.826.0.1.3680043.8.498.12890381296975892829022621008724647385,16 
1.2.826.0.1.3680043.8.498.12890811955150015100621882246307330726,13 
1.2.826.0.1.3680043.8.498.12901744469234457516700276336730234158,15 
1.2.826.0.1.3680043.8.498.12909718500329572364837446516949299404,10 
1.2.826.0.1.3680043.8.498.12914395967183998183880745447629978471,14 
1.2.826.0.1.3680043.8.498.12917517003845716201805103946495932631,3 
1.2.826.0.1.3680043.8.498.12930692248476176083952906814681878481,3 
1.2.826.0.1.3680043.8.498.12938686349728217469591395042595252619,3 
1.2.826.0.1.3680043.8.498.12941719189472148281368477514749732194,11 
1.2.826.0.1.3680043.8.498.12945150195968792047472032281021800329,3 
1.2.826.0.1.3680043.8.498.12946327792923949867265759035462104573,3 
1.2.826.0.1.3680043.8.498.12949185835253676877078779148553418606,14 
1.2.826.0.1.3680043.8.498.12955484645689261949928855045724356601,3 
1.2.826.0.1.3680043.8.498.12961416485268413761806036241048442495,21 
1.2.826.0.1.3680043.8.498.12969711619730257765567997638999515894,10 
1.2.826.0.1.3680043.8.498.12971882152066443422794034074213903494,3 
1.2.826.0.1.3680043.8.498.12983096743116763975681588892206878685,14 
1.2.826.0.1.3680043.8.498.12983714756787567754076896465547462326,3 
1.2.826.0.1.3680043.8.498.12988003902739370568781577767385885625,3 
1.2.826.0.1.3680043.8.498.12989189686298405059851048481727606730,20 
1.2.826.0.1.3680043.8.498.12992125746702555994344753616772572891,6 
